pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
L__NOUN_VERB_VERB	1	7	sing	represents	correct	generated	An agreeable insight executed in fifty	0	False	2926	4	6	"An agreeable insight executed in fifty surrounds there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>"
L__NOUN_VERB_VERB	1	7	sing	represent	wrong	generated	An agreeable insight executed in fifty	0	False	4307	4	6	"An agreeable insight executed in fifty surrounds there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>"
L__NOUN_VERB_VERB	0	0	sing	is	correct	original	The thing to keep in mind	0	False	649202	5	6	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball . <eos>
L__NOUN_VERB_VERB	0	0	sing	are	wrong	original	The thing to keep in mind	0	False	261453	5	6	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball . <eos>
L__NOUN_VERB_VERB	0	3	sing	approves	correct	generated	The sauce to recruit in pastor	0	False	78	5	6	The sauce to recruit in pastor advises that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>
L__NOUN_VERB_VERB	0	3	sing	approve	wrong	generated	The sauce to recruit in pastor	0	False	536	5	6	The sauce to recruit in pastor advises that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>
R__VERB_NOUN_CCONJ_VERB	0	9	plur	spend	correct	generated	Cats provide the ownership but	0	False	2073	4	5	Cats provide the ownership but throw her huge manufacturer and the pup cares . <eos>
R__VERB_NOUN_CCONJ_VERB	0	9	plur	spends	wrong	generated	Cats provide the ownership but	0	False	506	4	5	Cats provide the ownership but throw her huge manufacturer and the pup cares . <eos>
L__NOUN_VERB_VERB	7	6	sing	decides	correct	generated	Can you expire that the ground we are happening	0	False	1624	4	9	Can you expire that the ground we are happening produces toward a partial and soothing custody ? <eos>
L__NOUN_VERB_VERB	7	6	sing	decide	wrong	generated	Can you expire that the ground we are happening	0	False	1926	4	9	Can you expire that the ground we are happening produces toward a partial and soothing custody ? <eos>
R__VERB_NOUN_CCONJ_VERB	9	5	plur	carry	correct	generated	I continue this illegal bombing and	0	False	4503	5	6	I continue this illegal bombing and suppose to hang this popular exam . <eos>
R__VERB_NOUN_CCONJ_VERB	9	5	plur	carries	wrong	generated	I continue this illegal bombing and	0	False	1560	5	6	I continue this illegal bombing and suppose to hang this popular exam . <eos>
L__NOUN_VERB_VERB	23	1	sing	sucks	correct	generated	Well , unless equally probably the third rape he caused in the stuff	0	True	53	6	13	Well , unless equally probably the third rape he caused in the stuff leads out . <eos>
L__NOUN_VERB_VERB	23	1	sing	suck	wrong	generated	Well , unless equally probably the third rape he caused in the stuff	0	True	89	6	13	Well , unless equally probably the third rape he caused in the stuff leads out . <eos>
R__VERB_NOUN_CCONJ_VERB	2	5	plur	recognize	correct	generated	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	0	True	1554	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and develop respectfully to system the mile after we continue ) <eos>
R__VERB_NOUN_CCONJ_VERB	2	5	plur	recognizes	wrong	generated	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	0	True	623	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and develop respectfully to system the mile after we continue ) <eos>
R__VERB_NOUN_CCONJ_VERB	14	4	sing	creates	correct	generated	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	0	False	1563	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and provides into the sentiment client . <eos>
R__VERB_NOUN_CCONJ_VERB	14	4	sing	create	wrong	generated	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	0	False	8745	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and provides into the sentiment client . <eos>
L__NOUN_VERB_VERB	4	2	sing	enters	correct	generated	My career with using the fantasy frequently	0	False	1492	6	7	My career with using the fantasy frequently offers , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>
L__NOUN_VERB_VERB	4	2	sing	enter	wrong	generated	My career with using the fantasy frequently	0	False	3610	6	7	My career with using the fantasy frequently offers , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>
R__VERB_NOUN_CCONJ_VERB	0	7	plur	refuse	correct	generated	Copies throw the aircraft but	0	False	722	4	5	Copies throw the aircraft but lose her complicated drying and the path belongs . <eos>
R__VERB_NOUN_CCONJ_VERB	0	7	plur	refuses	wrong	generated	Copies throw the aircraft but	0	False	1038	4	5	Copies throw the aircraft but lose her complicated drying and the path belongs . <eos>
L__NOUN_VERB_VERB	19	4	plur	insist	correct	generated	the ecological wines we believe in our night	1	False	262	6	8	the ecological wines we believe in our night assume ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>
L__NOUN_VERB_VERB	19	4	plur	insists	wrong	generated	the ecological wines we believe in our night	1	False	447	6	8	the ecological wines we believe in our night assume ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>
L__NOUN_VERB_VERB	0	9	sing	adds	correct	generated	The wolf to continue in time	0	False	932	5	6	The wolf to continue in time uses that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>
L__NOUN_VERB_VERB	0	9	sing	add	wrong	generated	The wolf to continue in time	0	False	2283	5	6	The wolf to continue in time uses that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>
R__VERB_NOUN_CCONJ_VERB	2	0	plur	go	correct	original	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	0	True	11429	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and go back to work the day after we return ) <eos>
R__VERB_NOUN_CCONJ_VERB	2	0	plur	goes	wrong	original	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	0	True	4325	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and go back to work the day after we return ) <eos>
R__VERB_NOUN_CCONJ_VERB	12	5	sing	reflects	correct	generated	See for a petroleum of reviewers in their junk that submits from the date and	0	False	1138	5	15	See for a petroleum of reviewers in their junk that submits from the date and supports really to the police fo the looting . <eos>
R__VERB_NOUN_CCONJ_VERB	12	5	sing	reflect	wrong	generated	See for a petroleum of reviewers in their junk that submits from the date and	0	False	1968	5	15	See for a petroleum of reviewers in their junk that submits from the date and supports really to the police fo the looting . <eos>
R__VERB_NOUN_CCONJ_VERB	7	8	sing	throws	correct	generated	As you seem above the ton , the perfume of the critical protein provides your pattern and	0	True	600	4	17	As you seem above the ton , the perfume of the critical protein provides your pattern and serves you reassure newer and taller . <eos>
R__VERB_NOUN_CCONJ_VERB	7	8	sing	throw	wrong	generated	As you seem above the ton , the perfume of the critical protein provides your pattern and	0	True	1224	4	17	As you seem above the ton , the perfume of the critical protein provides your pattern and serves you reassure newer and taller . <eos>
L__NOUN_VERB_VERB	2	1	plur	spend	correct	generated	<unk> I do n't solve to the commission that the stars we choose or receive to	1	False	2073	6	16	Whie I do n't solve to the commission that the stars we choose or receive to deny no aircraft on our death ( which I want is promptly generic ) , it does generate me whenever projects carry out a relaxed spa of crimes to see the pork on . <eos>
L__NOUN_VERB_VERB	2	1	plur	spends	wrong	generated	<unk> I do n't solve to the commission that the stars we choose or receive to	1	False	506	6	16	Whie I do n't solve to the commission that the stars we choose or receive to deny no aircraft on our death ( which I want is promptly generic ) , it does generate me whenever projects carry out a relaxed spa of crimes to see the pork on . <eos>
R__VERB_NOUN_CCONJ_VERB	11	7	sing	generates	correct	generated	This clerk of luck represents around the snow s swing and controllers and	0	False	464	9	13	This clerk of luck represents around the snow s swing and controllers and dies a revenue for the nightmare accidentally on the receipt of the club in tribe of decision seconds . <eos>
R__VERB_NOUN_CCONJ_VERB	11	7	sing	generate	wrong	generated	This clerk of luck represents around the snow s swing and controllers and	0	False	1569	9	13	This clerk of luck represents around the snow s swing and controllers and dies a revenue for the nightmare accidentally on the receipt of the club in tribe of decision seconds . <eos>
R__VERB_NOUN_CCONJ_VERB	15	1	sing	serves	correct	generated	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and	0	True	4701	6	37	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and sees they affirm what you condemn , whenever they will not spawn for you , groom to this pup ... he is the audience for you . <eos>
R__VERB_NOUN_CCONJ_VERB	15	1	sing	serve	wrong	generated	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and	0	True	7238	6	37	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and sees they affirm what you condemn , whenever they will not spawn for you , groom to this pup ... he is the audience for you . <eos>
R__VERB_NOUN_CCONJ_VERB	4	8	plur	consider	correct	generated	Put me disrupt if you pay any fry or	0	False	3420	4	9	Put me disrupt if you pay any fry or describe anything eager . <eos>
R__VERB_NOUN_CCONJ_VERB	4	8	plur	considers	wrong	generated	Put me disrupt if you pay any fry or	0	False	1211	4	9	Put me disrupt if you pay any fry or describe anything eager . <eos>
R__VERB_NOUN_CCONJ_VERB	10	5	plur	seek	correct	generated	You assume the picketing and	0	False	2705	4	5	You assume the picketing and seek tube signature into the welfare . <eos>
R__VERB_NOUN_CCONJ_VERB	10	5	plur	seeks	wrong	generated	You assume the picketing and	0	False	1030	4	5	You assume the picketing and seek tube signature into the welfare . <eos>
L__NOUN_VERB_VERB	10	5	sing	intends	correct	generated	The sole liberty I murdered this vision	0	False	341	5	7	The sole liberty I murdered this vision offers to exploit anyone comparing this if they condemn of some retaliation I can prefer marry a star to this Today Today . <eos>
L__NOUN_VERB_VERB	10	5	sing	intend	wrong	generated	The sole liberty I murdered this vision	0	False	327	5	7	The sole liberty I murdered this vision offers to exploit anyone comparing this if they condemn of some retaliation I can prefer marry a star to this Today Today . <eos>
R__VERB_NOUN_CCONJ_VERB	6	0	plur	require	correct	original	If you have any questions or	0	False	4657	4	6	If you have any questions or require any assistance at all , please contact Hope Duncan at 202.739.0134 or Jeff Mangold at 703.729.2710 . <eos>
R__VERB_NOUN_CCONJ_VERB	6	0	plur	requires	wrong	original	If you have any questions or	0	False	3879	4	6	If you have any questions or require any assistance at all , please contact Hope Duncan at 202.739.0134 or Jeff Mangold at 703.729.2710 . <eos>
L__NOUN_VERB_VERB	24	2	plur	relate	correct	generated	Programs who seem these adults	0	False	685	5	5	Programs who seem these adults begin at the ideology entirely ; and it 's defensive to put they are unconnected and dead to grab no if they die there would commit a phenomenon . <eos>
L__NOUN_VERB_VERB	24	2	plur	relates	wrong	generated	Programs who seem these adults	0	False	782	5	5	Programs who seem these adults begin at the ideology entirely ; and it 's defensive to put they are unconnected and dead to grab no if they die there would commit a phenomenon . <eos>
L__NOUN_VERB_VERB	8	8	sing	sees	correct	generated	Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her	0	True	2251	4	23	Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her gives approximately . <eos>
L__NOUN_VERB_VERB	8	8	sing	see	wrong	generated	Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her	0	True	15996	4	23	Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her gives approximately . <eos>
R__VERB_NOUN_CCONJ_VERB	2	7	plur	refer	correct	generated	Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and	0	True	7025	7	18	Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and hear willingly to conspiracy the rejection after we spend ) <eos>
R__VERB_NOUN_CCONJ_VERB	2	7	plur	refers	wrong	generated	Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and	0	True	4467	7	18	Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and hear willingly to conspiracy the rejection after we spend ) <eos>
R__VERB_NOUN_CCONJ_VERB	0	5	plur	make	correct	generated	Mechanics pose the investment but	0	False	24608	4	5	Mechanics pose the investment but pick her glaring predator and the moon demonstrates . <eos>
R__VERB_NOUN_CCONJ_VERB	0	5	plur	makes	wrong	generated	Mechanics pose the investment but	0	False	7718	4	5	Mechanics pose the investment but pick her glaring predator and the moon demonstrates . <eos>
